id;abbr;description;y;x;z;agency;station;canton;municipality
776;CVT;Couvet CFF;538725.645;198013.52;774.47;SBB CFF;1;NE;Couvet
777;CRA;Crans;505630.568;134890.692;394.154;SBB CFF;1;VD;Crans-près-Céligny
778;CRNE;Cressier NE;569675.457;211290.943;435.7;SBB CFF;1;NE;Cressier (NE)
779;CRET;Crêt-du-Locle, Le;550327.8058;214231.5617;1016.4;SBB CFF;1;NE;La Chaux-de-Fonds
780;CRGD;Creux-de-Genthod;501522.026;124396.666;386.795;SBB CFF;1;GE;Genthod
781;ARN;Arnegg;736771.8;256159.25;621.23;SBB CFF;1;SG;Gossau (SG)
782;LCR;Creux, Le;556824.318;216704.748;1012.84;SBB CFF;1;NE;La Chaux-de-Fonds
783;CR;Croy-Romainmôtier;526535.179;172172.3;641.76;SBB CFF;1;VD;Romainmôtier-Envy
784;CGY;Cugy FR;558066.476;185133.267;468.94;SBB CFF;1;FR;Cugy (FR)
785;CU;Cully;545371.733;148830.861;391.66;SBB CFF;1;VD;Cully
786;DAIB;Daillens (bif);531684.792;165528.27;445.045;SBB CFF;0;VD;Daillens
787;DAY;Le Day;520608.373;174651.277;787.226;SBB CFF;1;VD;Vallorbe
788;DMT;Delémont;593309.406;245688.801;412.74;SBB CFF;1;JU;Delémont
790;DEN;Denges-Echandens;531093.24;153487.173;398.281;SBB CFF;1;VD;Denges
791;DEU;Deurres, Les;558958.206;203970.246;509.63;SBB CFF;1;NE;Peseux
792;DOM;Domdidier;567425.335;190909.514;439.05;SBB CFF;1;FR;Domdidier
795;DOP;Dompierre;565432.934;189352.152;442.35;SBB CFF;1;FR;Dompierre (FR)
796;DOR;Dornach-Arlesheim;612999.449;259775.721;294.17;SBB CFF;1;SO;Dornach
797;DUED;Düdingen;581018.428;188909.899;595.77;SBB CFF;1;FR;Düdingen
798;DUG;Duggingen;612430.5;255863.6;312.79;SBB CFF;1;BL;Duggingen
799;ECL;Eclépens;532168.387;167712.084;454.77;SBB CFF;1;VD;Eclépens
800;ECU;Ecublens-Rue;551922.319;162322.932;585.1;SBB CFF;1;FR;Ecublens (FR)
801;EP;Ependes;536501.6;177584.1;439.95;SBB CFF;1;VD;Ependes (VD)
802;EPS;Epesses;546755.625;148903.725;383.09;SBB CFF;1;VD;Epesses
803;EPL;Eplatures, Les;551321.95;214919;1011.49;SBB CFF;1;NE;La Chaux-de-Fonds
805;ESP;Essert-Pittet;534415.2;175522.9;438.19;SBB CFF;1;VD;Essert-Pittet
807;EST;Estavayer-le-Lac;554564.983;188324;462.72;SBB CFF;1;FR;Estavayer-le-Lac
808;ETOY;Etoy;522318.266;147595.854;406.49;SBB CFF;1;VD;Etoy
809;EV;Evionnaz;568093.055;113170.965;448.964;SBB CFF;1;VS;Evionnaz
810;EVOU;Evouettes, Les;556966.908;134763.459;377.73;SBB CFF;1;VS;Port-Valais
811;FG;Faoug;572265.766;195301.925;433.64;SBB CFF;1;VD;Faoug
812;FIL;Fillistorf;583856.114;190551.047;606.91;SBB CFF;1;FR;Schmitten (FR)
813;FLM;Flamatt;590925.633;193048.575;552.68;SBB CFF;1;FR;Wünnewil-Flamatt
814;FOU;Founex;504415.098;132346.27;391.763;SBB CFF;1;VD;Founex
815;FRAE;Fräschels;582309.538;205367.228;440.8;SBB CFF;1;FR;Fräschels
816;FRI;Fribourg;578046.98;183594.558;629.33;SBB CFF;1;FR;Fribourg
817;FRIN;Frinvillier-Taubenloch;586269.513;224292.924;554.921;SBB CFF;1;BE;Vauffelin
818;FUBI;Furet (bif);497888.325;118340.564;409.1;SBB CFF;0;GE;Genève
819;GZ;Galmiz;578271.686;200016.037;437.3;SBB CFF;1;FR;Galmiz
820;GA;Gampel-Steg;623800.849;128392.155;631.886;SBB CFF;1;VS;Steg
821;GAMS;Gamsen SBB;638646.922;128174.241;660.85;SBB CFF;0;VS;Brig-Glis
822;GE;Genève;499969.453;118467.941;392.01;SBB CFF;1;GE;Genève
823;GEFB;Genève faisceau B;500120.011;119084.18;392;SBB CFF;0;GE;Genève
824;GEPR;Genève-La-Praille;498624.905;115475.529;384;SBB CFF;1;GE;Lancy
825;GEAP;Genève-Aéroport;497660.732;120988.839;411;SBB CFF;1;GE;Le Grand-Saconnex
