lineno;linename;sequence;id;stationfrom;stationto
440;Burgdorf West - Obermatt;1;3917;LERV;BDFS
440;Burgdorf West - Obermatt;2;1872;BDFS;OBB
440;Burgdorf West - Obermatt;3;1873;OBB;HA
440;Burgdorf West - Obermatt;4;1874;HA;LUGO
440;Burgdorf West - Obermatt;5;1875;LUGO;RAM
440;Burgdorf West - Obermatt;6;1876;RAM;ZO
440;Burgdorf West - Obermatt;7;1877;ZO;NM
440;Burgdorf West - Obermatt;8;1878;NM;OM
441;Langenthal - Huttwil;1;1893;LTH;LTHS
441;Langenthal - Huttwil;2;1894;LTHS;LOTZ
441;Langenthal - Huttwil;3;1895;LOTZ;GUBU
441;Langenthal - Huttwil;4;1896;GUBU;MADI
441;Langenthal - Huttwil;5;1897;MADI;LHO
441;Langenthal - Huttwil;6;1898;LHO;KDI
441;Langenthal - Huttwil;7;1899;KDI;RBA
441;Langenthal - Huttwil;8;1900;RBA;HWIL
442;Ramsei - Huttwil;0;1909;RAM;GRMA
442;Ramsei - Huttwil;1;1910;GRMA;SWG
442;Ramsei - Huttwil;2;1911;SWG;GT
442;Ramsei - Huttwil;3;1912;GT;GBA
442;Ramsei - Huttwil;4;1913;GBA;AFWE
442;Ramsei - Huttwil;5;1914;AFWE;HAMO
442;Ramsei - Huttwil;6;1915;HAMO;MUSS
442;Ramsei - Huttwil;7;1916;MUSS;DROT
442;Ramsei - Huttwil;8;2692;DROT;HWSZ
442;Ramsei - Huttwil;9;2693;HWSZ;HWIL
443;Sumiswald Grünen - Wasen im Emmental;1;1918;SWG;EIIE
443;Sumiswald Grünen - Wasen im Emmental;2;1919;EIIE;BHOF
443;Sumiswald Grünen - Wasen im Emmental;3;1920;BHOF;OEI
443;Sumiswald Grünen - Wasen im Emmental;4;1921;OEI;WAIE
445;Huttwil - Wolhusen;1;1901;HWIL;GOND
445;Huttwil - Wolhusen;2;1902;GOND;HUE
445;Huttwil - Wolhusen;3;1903;HUE;ZELL
445;Huttwil - Wolhusen;4;1904;ZELL;GET
445;Huttwil - Wolhusen;5;4301;GET;GETG
445;Huttwil - Wolhusen;6;4302;GETG;WSAU
445;Huttwil - Wolhusen;7;1906;WSAU;DWIL
445;Huttwil - Wolhusen;8;1907;DWIL;MAU
445;Huttwil - Wolhusen;9;4007;MAU;WHW
445;Huttwil - Wolhusen;10;4004;WHW;WH
450;Olten Süd - Bern;-8;3527;OLS;RTR
450;Olten Süd - Bern;-7;3525;RTR;RTRW
450;Olten Süd - Bern;-6;3526;RTRW;RANS
450;Olten Süd - Bern;-5;2497;RANS;MGT
450;Olten Süd - Bern;-4;371;MGT;ROG
450;Olten Süd - Bern;-3;2631;ROG;LTH
450;Olten Süd - Bern;-2;1495;LTH;LTG
450;Olten Süd - Bern;-1;3977;LTG;HB
450;Olten Süd - Bern;0;375;HB;RTW
450;Olten Süd - Bern;1;376;RTW;WY
450;Olten Süd - Bern;2;377;WY;BDF
